vehicle,agent_type,number
vehicle.audi.a2,traffic_manager,1
vehicle.nissan.micra,traffic_manager,1
vehicle.audi.tt,traffic_manager,1
vehicle.mercedes.coupe_2020,traffic_manager,1
vehicle.bmw.grandtourer,traffic_manager,1
vehicle.ford.ambulance,traffic_manager,1
vehicle.micro.microlino,traffic_manager,1
vehicle.carlamotors.firetruck,traffic_manager,1
vehicle.carlamotors.carlacola,traffic_manager,1
vehicle.ford.mustang,traffic_manager,1
vehicle.chevrolet.impala,traffic_manager,1
vehicle.lincoln.mkz_2020,traffic_manager,1
vehicle.citroen.c3,traffic_manager,1
vehicle.dodge.charger_police,traffic_manager,1
vehicle.nissan.patrol,traffic_manager,1
vehicle.jeep.wrangler_rubicon,traffic_manager,1
vehicle.mini.cooper_s,traffic_manager,1
vehicle.mercedes.coupe,traffic_manager,1
vehicle.dodge.charger_2020,traffic_manager,1
vehicle.ford.crown,traffic_manager,1
vehicle.seat.leon,traffic_manager,1
vehicle.toyota.prius,traffic_manager,1
vehicle.mitsubishi.fusorosa,traffic_manager,1
vehicle.tesla.model3,traffic_manager,1
vehicle.tesla.cybertruck,traffic_manager,1
vehicle.mercedes.sprinter,traffic_manager,1
vehicle.audi.etron,traffic_manager,1
vehicle.volkswagen.t2,traffic_manager,1
vehicle.lincoln.mkz_2017,traffic_manager,1
vehicle.dodge.charger_police_2020,traffic_manager,1
vehicle.mini.cooper_s_2021,traffic_manager,1
vehicle.nissan.patrol_2021,traffic_manager,1
vehicle.volkswagen.t2_2021,traffic_manager,1
